Date,Open,High,Low,Close,Volume,Sentiment,Change,Prediction
2020-01-13,28869.009765625,28909.91015625,28819.4296875,28907.05078125,249830000,0.0,83.28125,28939.669921875
2020-01-14,28895.5,29054.16015625,28872.26953125,28939.669921875,287440000,0.0,32.619140625,29030.220703125
2020-01-15,28901.80078125,29127.58984375,28897.349609375,29030.220703125,260270000,0.0,90.55078125,29297.640625
2020-01-16,29131.94921875,29300.3203125,29131.94921875,29297.640625,252110000,0.0,267.419921875,29348.099609375
2020-01-17,29313.310546875,29373.619140625,29289.91015625,29348.099609375,321820000,0.0,50.458984375,29196.0390625
2020-01-21,29269.05078125,29341.2109375,29146.470703125,29196.0390625,320640000,0.0,-152.060546875,29186.26953125
2020-01-22,29263.630859375,29320.19921875,29172.259765625,29186.26953125,283440000,0.0,-9.76953125,29160.08984375
2020-01-23,29111.01953125,29190.470703125,28966.98046875,29160.08984375,307060000,0.0,-26.1796875,28989.73046875
2020-01-24,29230.390625,29288.7890625,28843.310546875,28989.73046875,380010000,0.0,-170.359375,28535.80078125
2020-01-27,28542.490234375,28671.7890625,28440.470703125,28535.80078125,337270000,0.0,-453.9296875,28722.849609375
2020-01-28,28594.279296875,28823.23046875,28575.75,28722.849609375,330140000,0.0,187.048828125,28734.44921875
2020-01-29,28820.529296875,28944.240234375,28728.189453125,28734.44921875,302290000,0.0,11.599609375,28859.439453125
2020-01-30,28640.16015625,28879.7109375,28489.759765625,28859.439453125,326850000,-0.2732,124.990234375,28256.029296875
2020-01-31,28813.0390625,28813.0390625,28169.529296875,28256.029296875,403890000,0.0,-603.41015625,28399.810546875
2020-02-03,28319.650390625,28630.390625,28319.650390625,28399.810546875,307910000,0.0,143.78125,28807.630859375
2020-02-04,28696.740234375,28904.880859375,28696.740234375,28807.630859375,332750000,-0.6249,407.8203125,29290.849609375
2020-02-05,29048.73046875,29308.890625,29000.849609375,29290.849609375,357540000,0.0,483.21875,29379.76953125
2020-02-06,29388.580078125,29408.05078125,29246.9296875,29379.76953125,263700000,0.0,88.919921875,29102.509765625
2020-02-07,29286.919921875,29286.919921875,29056.98046875,29102.509765625,252860000,0.0,-277.259765625,29276.8203125
